Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.26316675543785095,1.9768623113632202,78.3883056640625,0.43599760134500853,-0.6244478903797451,-90.21870671740727,1.8219452,4.482757,15.353947,6.8552923,-8.233158,-5.288667,1.0262668,-5.6915812,-6.092906,8.31567,-9.303488,5.880786,1.6168773,-1.1529365,6.6571054,0.6412887,15.08048,-30.535755,57.403576,19.918034,-7.3451023,-5.729499,-6.248734,-15.7207155,45.72623,59.271397,-18.454962,-8.115197,4.6403522
1,0.2684192657470703,2.013556718826294,78.39803314208984,0.455099107652343,-0.5237853810316316,-90.09292805879598,1.6468235,4.4261384,15.241517,6.851197,-8.162293,-5.254857,0.93047076,-5.746017,-6.203639,8.282498,-9.2603245,5.8952956,1.4884356,-1.2291923,6.6775746,0.5100522,15.103646,-30.582827,57.429108,19.898476,-7.353062,-5.7278204,-6.293652,-15.726795,45.63432,59.228397,-18.391296,-8.123042,4.6441107
2,0.27589914202690125,2.0504250526428223,78.40514373779297,0.4773923788883867,-0.41807061274688834,-89.96256763423985,1.4645692,4.3683424,15.125433,6.8473215,-8.089222,-5.2214293,0.83059114,-5.8016653,-6.3187523,8.248567,-9.216998,5.9104,1.3989258,-1.3187886,6.6973615,0.36349064,15.158172,-30.688702,57.444912,19.855734,-7.358701,-5.7292576,-6.310028,-15.730036,45.47167,59.165417,-18.343771,-8.135173,4.652192
3,0.2895786464214325,2.0737600326538086,78.4087905883789,0.4964388502517354,-0.3228730388210788,-89.84135089281605,1.2968179,4.312554,15.017409,6.8432474,-8.0204,-5.1876054,0.73778486,-5.85526,-6.424709,8.220197,-9.176692,5.923964,1.3119547,-1.4097544,6.730269,0.2311092,15.224837,-30.778214,57.441326,19.819485,-7.364832,-5.7313814,-6.3378763,-15.727554,45.33601,59.111774,-18.299953,-8.144854,4.6560693
4,0.30389952659606934,2.0973892211914062,78.41221618652344,0.5141668608934996,-0.25420672430942215,-89.74304911249547,1.1653472,4.2614145,14.929298,6.840045,-7.963781,-5.152329,0.6607483,-5.9044776,-6.5071764,8.209119,-9.145647,5.933977,1.2418975,-1.4928675,6.7922235,0.10489024,15.283052,-30.83488,57.433548,19.808655,-7.372306,-5.728878,-6.382124,-15.7234125,45.252148,59.075157,-18.27195,-8.147854,4.651554
5,0.32525840401649475,2.126025438308716,78.4163818359375,0.5252333869421014,-0.22604199479358145,-89.67450705135789,1.0884025,4.216672,14.866497,6.838583,-7.926218,-5.115543,0.61692166,-5.947579,-6.559196,8.212522,-9.126321,5.938178,1.2026736,-1.5611944,6.892752,-0.023491941,15.321066,-30.860958,57.43422,19.836685,-7.384037,-5.7191315,-6.435949,-15.72211,45.22174,59.05659,-18.269299,-8.139083,4.6341352
6,0.34806033968925476,2.1589136123657227,78.4203109741211,0.5344823984942837,-0.22646282831206285,-89.62737421159106,1.0507973,4.1759276,14.821982,6.8378873,-7.902403,-5.0775857,0.5931483,-5.9869623,-6.5891514,8.233223,-9.11891,5.9382644,1.1946243,-1.6269419,7.0268145,-0.14288886,15.371128,-30.874622,57.41366,19.885546,-7.397979,-5.7081947,-6.49032,-15.7234125,45.21722,59.037487,-18.286572,-8.122819,4.6086674
7,0.37263816595077515,2.191753387451172,78.42438507080078,0.5408332152934925,-0.23278898144944896,-89.59240552645237,1.0208879,4.138547,14.788206,6.8374467,-7.879955,-5.038428,0.5693515,-6.0229445,-6.6075277,8.2559595,-9.107686,5.9380875,1.1956993,-1.6886694,7.1723785,-0.2677023,15.411029,-30.872112,57.40061,19.936825,-7.4092965,-5.692505,-6.5553207,-15.727813,45.24126,59.024094,-18.31407,-8.106882,4.5825577
8,0.39343535900115967,2.224735975265503,78.43133544921875,0.5474170883843835,-0.22219278399080314,-89.5603468452371,0.967868,4.103104,14.757892,6.8364897,-7.84721,-4.9980173,0.5243931,-6.0556726,-6.6254,8.270879,-9.08124,5.941169,1.1937217,-1.755013,7.315388,-0.39360902,15.454395,-30.85904,57.382328,19.96544,-7.4118032,-5.6743135,-6.632321,-15.7354555,45.280666,59.0043,-18.344995,-8.100029,4.5646105
9,0.41722068190574646,2.260964870452881,78.43880462646484,0.5509481853491833,-0.18839842158627834,-89.53408163058782,0.8835926,4.0687537,14.733863,6.8348,-7.800675,-4.9557014,0.45361423,-6.0851374,-6.6411695,8.265965,-9.02896,5.953556,1.1894588,-1.8285617,7.4557104,-0.51335466,15.513524,-30.832747,57.34117,19.960823,-7.400923,-5.656795,-6.7275186,-15.749423,45.348103,58.973946,-18.388554,-8.106086,4.558327
10,0.4389561712741852,2.313673496246338,78.44805145263672,0.5540618093503359,-0.14372346424618335,-89.5167059319755,0.78484523,4.036242,14.7186365,6.832697,-7.7470384,-4.911669,0.36597943,-6.1112747,-6.6505094,8.255613,-8.963291,5.9715242,1.1937907,-1.9025327,7.5970654,-0.64069366,15.568298,-30.79883,57.30255,19.938185,-7.3805413,-5.6357527,-6.8373938,-15.7670555,45.439503,58.945663,-18.44602,-8.120165,4.5584135
11,0.4648020565509796,2.36521577835083,78.45861053466797,0.554634848187136,-0.09307070980760318,-89.49949949677234,0.6769811,4.00678,14.70385,6.8300996,-7.688451,-4.867325,0.2685311,-6.1342845,-6.659922,8.245121,-8.89114,5.9846454,1.1956147,-1.9803097,7.7408457,-0.77368444,15.620915,-30.756317,57.271435,19.908033,-7.3587437,-5.6102343,-6.9481006,-15.786663,45.53056,58.908085,-18.494167,-8.137379,4.5617933
12,0.49368324875831604,2.4197916984558105,78.4679946899414,0.5530212654123484,-0.04166658843526878,-89.47353172645029,0.5647551,3.9822874,14.681117,6.8280077,-7.627615,-4.824155,0.16798477,-6.1535335,-6.676397,8.242234,-8.821543,5.982319,1.194589,-2.062418,7.8835244,-0.9230077,15.657266,-30.714163,57.273983,19.885508,-7.343168,-5.576357,-7.0459304,-15.799714,45.58761,58.863495,-18.510893,-8.153576,4.564468
13,0.5176787376403809,2.4755592346191406,78.47692108154297,0.5471649469503352,0.009721647898596598,-89.4346847772436,0.44911447,3.9617853,14.6470175,6.825923,-7.5637946,-4.7820926,0.06207239,-6.170895,-6.702077,8.257131,-8.76029,5.95776,1.1669626,-2.1595893,8.036849,-1.0418433,15.723028,-30.637806,57.243267,19.870821,-7.336005,-5.5403357,-7.1366143,-15.818053,45.637943,58.79001,-18.46903,-8.167935,4.570784
